year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,2,HA,Hawaiian Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",56,13,10.31,0,0,0,2.69,0,0,553,395,0,0,0,158
2015,2,HA,Hawaiian Airlines Inc.,PDX,"Portland, OR: Portland International",28,3,3,0,0,0,0,0,0,100,100,0,0,0,0
2015,2,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",112,14,12.18,0,0,0,1.82,0,1,596,553,0,0,0,43
2015,2,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",28,5,5,0,0,0,0,0,0,131,131,0,0,0,0
2015,2,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",56,13,10.29,0.87,0.84,0,1,0,0,392,319,33,16,0,24
2015,2,HA,Hawaiian Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",56,12,9.58,0,0,0,2.42,0,0,322,262,0,0,0,60
2015,2,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",20,6,4.79,0.98,0.07,0,0.16,0,0,1746,1501,238,2,0,5
2015,2,MQ,Envoy Air,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",248,99,27.59,15.79,27.55,0,28.07,33,1,6963,1974,1007,1715,0,2267
2015,2,MQ,Envoy Air,AMA,"Amarillo, TX: Rick Husband Amarillo International",207,50,16.85,5.31,8.88,0,18.95,35,0,3310,798,775,687,0,1050
2015,2,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6057,1395,218.06,57.8,444.53,6.15,668.46,911,6,87558,17358,6785,22555,245,40615
2015,2,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",241,113,29.82,13.37,43.04,0,26.76,25,0,6941,1595,1140,2378,0,1828
2015,2,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",5051,1987,246.81,50.38,744.32,1.83,943.65,721,2,146140,25709,6334,42595,47,71455
